DrugID,ProteinID,InteractionType,edge_label
DB00126,P14672,1,Carrrier
DB00132,O15540,1,Carrrier
DB00136,P02774,1,Carrrier
DB00137,P02768,1,Carrrier
DB00152,Q9BZV2,1,Carrrier
DB00153,P02774,1,Carrrier
DB00154,O15540,1,Carrrier
DB00159,O15540,1,Carrrier
DB00159,P02768,1,Carrrier
DB00162,P02753,1,Carrrier
DB00162,P02768,1,Carrrier
DB00162,P09455,1,Carrrier
DB00162,P10745,1,Carrrier
DB00162,P12271,1,Carrrier
DB00162,P50120,1,Carrrier
DB00162,Q96R05,1,Carrrier
DB00162,Q9BX79,1,Carrrier
DB00163,O95477,1,Carrrier
DB00163,P45844,1,Carrrier
DB00163,Q8WTV0,1,Carrrier
DB00163,Q9UHC9,1,Carrrier
DB00165,P05186,1,Carrrier
DB00169,P02774,1,Carrrier
DB00180,P08185,1,Carrrier
DB00214,Q9Y6L6,1,Carrrier
DB00220,O95342,1,Carrrier
DB00227,Q9NPD5,1,Carrrier
DB00228,P02768,1,Carrrier
DB00238,O15245,1,Carrrier
DB00240,P08185,1,Carrrier
DB00243,Q86VL8,1,Carrrier
DB00245,P02768,1,Carrrier
DB00246,P02763,1,Carrrier
DB00246,P08183,1,Carrrier
DB00252,P08183,1,Carrrier
DB00252,Q92887,1,Carrrier
DB00253,Q8TCC7,1,Carrrier
DB00255,O95342,1,Carrrier
DB00264,O15244,1,Carrrier
DB00266,P02768,1,Carrrier
DB00274,Q16348,1,Carrrier
DB00278,P02768,1,Carrrier
DB00279,P08183,1,Carrrier
DB00279,Q01650,1,Carrrier
DB00279,Q8TF71,1,Carrrier
DB00280,O15244,1,Carrrier
DB00289,P02768,1,Carrrier
DB00289,P12314,1,Carrrier
DB00292,P11166,1,Carrrier
DB00294,P02768,1,Carrrier
DB00294,P04278,1,Carrrier
DB00295,P08183,1,Carrrier
DB00304,P02768,1,Carrrier
DB00304,P04278,1,Carrrier
DB00310,P02768,1,Carrrier
DB00313,O94956,1,Carrrier
DB00316,P08183,1,Carrrier
DB00317,P08183,1,Carrrier
DB00317,Q9UNQ0,1,Carrrier
DB00321,P02763,1,Carrrier
DB00321,P08183,1,Carrrier
DB00322,P05543,1,Carrrier
DB00324,P08185,1,Carrrier
DB00328,O95342,1,Carrrier
DB00332,O76082,1,Carrrier
DB00332,Q9H015,1,Carrrier
DB00333,P02768,1,Carrrier
DB00333,P08183,1,Carrrier
DB00334,P02763,1,Carrrier
DB00334,P08183,1,Carrrier
DB00335,O95342,1,Carrrier
DB00343,P02763,1,Carrrier
DB00343,P08183,1,Carrrier
DB00346,P02763,1,Carrrier
DB00346,P08183,1,Carrrier
DB00376,P02768,1,Carrrier
DB00391,Q9UNQ0,1,Carrrier
DB00394,Q9NPD5,1,Carrrier
DB00412,O95342,1,Carrrier
DB00415,P53985,1,Carrrier
DB00421,O95342,1,Carrrier
DB00421,P46721,1,Carrrier
DB00430,P02768,1,Carrrier
DB00432,Q14542,1,Carrrier
DB00434,O15245,1,Carrrier
DB00438,Q4U2R8,1,Carrrier
DB00443,P08183,1,Carrrier
DB00443,P08185,1,Carrrier
DB00451,O94956,1,Carrrier
DB00451,Q01650,1,Carrrier
DB00451,Q96BD0,1,Carrrier
DB00454,P02763,1,Carrrier
DB00454,P08183,1,Carrrier
DB00456,Q9Y694,1,Carrrier
DB00457,Q9UNQ0,1,Carrrier
DB00458,O75751,1,Carrrier
DB00458,Q9H015,1,Carrrier
DB00459,P02768,1,Carrrier
DB00461,P02768,1,Carrrier
DB00472,P02763,1,Carrrier
DB00472,P08183,1,Carrrier
DB00476,P08183,1,Carrrier
DB00477,O95342,1,Carrrier
DB00481,O15438,1,Carrrier
DB00481,O15439,1,Carrrier
DB00490,P02763,1,Carrrier
DB00490,P08183,1,Carrrier
DB00495,Q9UNQ0,1,Carrrier
DB00500,Q4U2R8,1,Carrrier
DB00501,Q86VL8,1,Carrrier
DB00503,O95342,1,Carrrier
DB00503,Q9NPD5,1,Carrrier
DB00507,P41440,1,Carrrier
DB00515,Q9UNQ0,1,Carrrier
DB00523,P08183,1,Carrrier
DB00523,P29762,1,Carrrier
DB00530,O94956,1,Carrrier
DB00530,P08183,1,Carrrier
DB00537,Q86VL8,1,Carrrier
DB00540,P08183,1,Carrrier
DB00540,P23975,1,Carrrier
DB00543,P02763,1,Carrrier
DB00544,O15439,1,Carrrier
DB00544,O15440,1,Carrrier
DB00554,O94956,1,Carrrier
DB00555,O15245,1,Carrrier
