DrugID,UniprotID,ActionLabel,ActionType,TargetType,Organism
DB00114,P17174,1,Activator,Target,Humans
DB00114,P80404,2,Inhibitor,Target,Humans
DB00118,P35520,1,Activator,Target,Humans
DB00119,P80404,2,Inhibitor,Target,Humans
DB00126,Q54873,2,Inhibitor,Target,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
DB00126,Q6NS38,1,Activator,Target,Humans
DB00126,Q96Q83,1,Activator,Target,Humans
DB00130,P17812,2,"Antagonist, Substrate",Target,Humans
DB00132,Q8NER1,2,Inhibitor,Target,Humans
DB00132,Q96RI1,1,Agonist,Target,Humans
DB00136,P11473,2,Antagonist,Target,Humans
DB00139,P51649,2,Inhibitor,Target,Humans
DB00141,P54802,1,Activator,Target,Humans
DB00145,Q12879,2,Antagonist,Target,Humans
DB00145,Q14957,1,Agonist,Target,Humans
DB00146,P11473,1,Agonist,Target,Humans
DB00153,P11473,1,Agonist,Target,Humans
DB00154,P23219,2,Inhibitor,Target,Humans
DB00159,O14842,1,Agonist,Target,Humans
DB00159,O60427,1,Agonist,Target,Humans
DB00159,O60488,1,Inducer,Target,Humans
DB00159,P23219,2,Inhibitor,Target,Humans
DB00159,P32418,2,Inhibitor,Target,Humans
DB00159,P35354,2,Inhibitor,Target,Humans
DB00159,P37231,1,Agonist,Target,Humans
DB00159,Q03181,1,Agonist,Target,Humans
DB00159,Q8NER1,1,Inducer,Target,Humans
DB00160,P80404,2,Inhibitor,Target,Humans
DB00168,Q8NER1,1,Inducer,Target,Humans
DB00168,Q8TE23,1,Agonist,Target,Humans
DB00169,P11473,1,Agonist,Target,Humans
DB00170,P00734,1,Activator,Target,Humans
DB00170,P00740,1,Activator,Target,Humans
DB00170,P02818,1,Agonist,Target,Humans
DB00170,P04070,1,Activator,Target,Humans
DB00170,P07225,1,Activator,Target,Humans
DB00175,P04035,2,Inhibitor,Target,Humans
DB00175,Q92769,2,Inhibitor,Target,Humans
DB00176,P31645,2,Inhibitor,Target,Humans
DB00177,P30556,2,Antagonist,Target,Humans
DB00178,P12821,2,Inhibitor,Target,Humans
DB00179,P09917,2,Inhibitor,Target,Humans
DB00180,P04150,1,Agonist,Target,Humans
DB00181,O75899,1,Agonist,Target,Humans
DB00181,Q9UBS5,1,Agonist,Target,Humans
DB00183,P32239,1,Agonist,Target,Humans
DB00185,P11229,1,Agonist,Target,Humans
DB00185,P20309,1,Agonist,Target,Humans
DB00187,P08588,2,Antagonist,Target,Humans
DB00188,P20618,2,Inhibitor,Target,Humans
DB00188,P28074,2,Inhibitor,Target,Humans
DB00190,P20711,2,Inhibitor,Target,Humans
DB00192,Q14524,2,Inhibitor,Target,Humans
