DrugID,UniprotID,Scores
DB12532,P0C6X7,0.992031915
DB01421,P37288,0.991139488
DB12532,P0DTD1,0.991040379
DB12532,K9N7C7,0.991040379
DB01421,P53667,0.990445933
DB01421,Q8NG66,0.990445933
DB01421,P57059,0.990445933
DB01421,Q16832,0.990247864
DB00452,P0DTD1,0.990049834
DB01082,P0DTD1,0.990049834
DB09552,P05230,0.989950834
DB01421,Q9Y2T6,0.989950834
DB01421,O15530,0.98915919
DB00452,P0C6X7,0.989060279
DB00452,K9N7C7,0.989060279
DB01082,K9N7C7,0.989060279
DB01082,P0C6X7,0.989060279
DB01599,Q3MS49,0.989060279
DB01421,Q9NYX4,0.988961378
DB06766,P41180,0.988961378
DB06766,P61073,0.988961378
DB00525,P41180,0.988664734
DB01421,Q92206,0.988664734
DB00525,P61073,0.988664734
DB08936,P61073,0.988565872
DB00479,Q9NYX4,0.988565872
DB08936,P41180,0.988565872
DB01421,P94692,0.988368179
DB01153,P05230,0.988269347
DB03754,B0B3C9,0.988269347
DB05246,Q3MS49,0.988071713
DB00498,P61073,0.987775336
DB00479,Q07699,0.987775336
DB00498,P41180,0.987775336
DB00192,P05230,0.987281572
DB01153,P23560,0.987281572
DB00525,P05230,0.987084135
DB00928,Q3MS49,0.987084135
DB01250,P0C6X7,0.987084135
DB00217,P61073,0.986788054
DB00262,P49674,0.986788054
DB00748,P05230,0.986590716
DB01421,Q9ULX7,0.986492062
DB01421,P60568,0.986393418
DB01421,P19838,0.986393418
DB01091,P23560,0.986393418
DB11160,P05230,0.986393418
DB09552,P21430,0.986196159
DB01438,P16233,0.986196159
DB01438,P49327,0.986196159
DB01438,P07098,0.986196159
DB01421,P00492,0.986196159
DB01250,P0DTD1,0.986097544
DB00479,P02818,0.986097544
DB12532,P78527,0.986097544
DB00735,P23560,0.986097544
DB01616,P23560,0.985801759
DB00226,P53667,0.985703184
DB00226,Q8NG66,0.985703184
DB00226,P57059,0.985703184
DB03754,Q07912,0.985703184
DB06809,Q04206,0.985703184
DB08936,P23560,0.985703184
DB03754,P08922,0.985703184
DB01421,P95029,0.985604619
DB01246,P23560,0.985604619
DB03754,P49674,0.985604619
DB01421,Q8TDS4,0.985604619
DB09552,Q04206,0.985604619
DB00226,P22001,0.985604619
DB06809,P03886,0.985506063
DB09257,P41180,0.985506063
DB06809,P98194,0.985506063
DB09552,P00747,0.985506063
DB09257,P61073,0.985506063
DB01180,P19320,0.985407518
DB00235,P05230,0.985407518
DB01170,P53667,0.985407518
DB01170,Q8NG66,0.985407518
DB01605,P51172,0.985407518
DB01180,P07327,0.985407518
DB01180,Q15825,0.985407518
DB00419,P53667,0.985407518
DB00419,Q8NG66,0.985407518
DB01180,Q92806,0.985407518
DB01180,P48051,0.985407518
DB01170,P57059,0.985407518
DB00919,Q8TDS4,0.985407518
DB01605,P51170,0.985407518
DB01605,P51168,0.985407518
DB00419,P57059,0.985407518
DB01605,P37088,0.985407518
DB00750,P05230,0.985308982
DB00941,P12236,0.985308982
DB00941,P12235,0.985308982
DB00941,P05141,0.985308982
DB00226,P46925,0.985210456
DB00226,O00555,0.985210456
DB00226,Q16832,0.985210456
DB04575,P69905,0.98511194
DB01250,K9N7C7,0.98511194
DB01421,P22001,0.98511194
DB09552,P12235,0.984914937
DB00405,P23560,0.984914937
DB03754,Q16602,0.984914937
DB01003,P21430,0.984914937
DB09552,P12236,0.984914937
DB09552,P05141,0.984914937
DB00226,Q16665,0.98481645
DB00419,Q16832,0.98481645
DB01170,Q16832,0.98481645
DB06809,P45954,0.984717974
DB04575,Q16873,0.984717974
DB04575,P10620,0.984717974
DB04575,Q04760,0.984717974
DB04575,P28161,0.984717974
DB03085,P49674,0.984619507
DB00941,P98194,0.984619507
DB00941,P03886,0.984619507
DB11587,P05230,0.984619507
DB03754,Q08345,0.98452105
DB01170,P48736,0.984422603
DB00923,P98194,0.984422603
DB11496,P07098,0.984422603
DB11496,P49327,0.984422603
DB13908,P05230,0.984422603
DB00923,P03886,0.984422603
DB11496,P16233,0.984422603
DB01089,Q15825,0.98412732
DB01157,K9N7C7,0.98412732
DB11327,Q3MS49,0.98412732
DB01157,P0C6X7,0.98412732
DB01089,P07327,0.98412732
DB01089,P19320,0.98412732
DB01157,P0DTD1,0.98412732
DB01426,P0C6X7,0.98412732
DB01089,P48051,0.98412732
DB01426,K9N7C7,0.98412732
DB01089,Q92806,0.98412732
DB08809,K9N7C7,0.98412732
DB05246,P54710,0.98412732
DB01426,P0DTD1,0.98412732
DB12532,P12823,0.98412732
DB12789,Q07699,0.984028912
DB08936,O60488,0.984028912
DB00226,O95069,0.983832126
DB01619,O60488,0.983733748
DB01301,P98194,0.983733748
DB01619,Q9H093,0.983733748
DB01301,P03886,0.983733748
DB06766,P69905,0.983733748
DB00828,P24941,0.983635379
DB00941,O60391,0.983635379
DB00302,O00555,0.983635379
DB00828,Q13555,0.983635379
DB00941,P11413,0.983635379
DB00828,P08631,0.983635379
DB00828,Q9Y2U5,0.983635379
DB06718,Q16873,0.983438672
DB06718,Q04760,0.983438672
DB06718,P10620,0.983438672
