DrugID,UniprotID,ZeroScore,ActionType,ActionLabel
DB09085,Q3MS49,0.9940179640539352,ZeroAction,0
DB12532,P0C6X7,0.9920319148370608,ZeroAction,0
DB01421,P37288,0.991139487766128,ZeroAction,0
DB00452,P0DTD1,0.990049833749168,ZeroAction,0
DB01082,P0DTD1,0.990049833749168,ZeroAction,0
DB00994,P0DTD1,0.990049833749168,ZeroAction,0
DB14007,P49674,0.9894559820222522,ZeroAction,0
DB11738,O75874,0.9892581106136482,ZeroAction,0
DB04115,K9N7C7,0.9890602787753688,ZeroAction,0
DB01599,Q3MS49,0.9890602787753688,ZeroAction,0
DB06766,P41180,0.9889613776926276,ZeroAction,0
DB01430,P23560,0.9888624864995004,ZeroAction,0
DB00888,B0B3C9,0.9888624864995004,ZeroAction,0
DB00525,P41180,0.988664733778132,ZeroAction,0
DB08936,P61073,0.988565872247913,ZeroAction,0
DB11386,B0B3C9,0.988565872247913,ZeroAction,0
DB00479,Q9NYX4,0.988565872247913,ZeroAction,0
DB00839,P61073,0.9884670206033528,ZeroAction,0
DB00581,Q08345,0.9882693469672548,ZeroAction,0
DB01153,P05230,0.9882693469672548,ZeroAction,0
DB06782,P0A8V2,0.9882693469672548,ZeroAction,0
DB03754,B0B3C9,0.9882693469672548,ZeroAction,0
DB01839,B0B3C9,0.98817052497374,ZeroAction,0
DB03175,B0B3C9,0.9880717128619304,ZeroAction,0
DB09151,P61073,0.9880717128619304,ZeroAction,0
DB05246,Q3MS49,0.9880717128619304,ZeroAction,0
DB09513,B0B3C9,0.9879729106308384,ZeroAction,0
DB06809,P07741,0.987874118279475,ZeroAction,0
DB13136,P61073,0.987874118279475,ZeroAction,0
DB00498,P61073,0.9877753358068532,ZeroAction,0
DB09510,O75874,0.987380304684022,ZeroAction,0
DB01168,P61073,0.987380304684022,ZeroAction,0
DB00192,P05230,0.9872815715902904,ZeroAction,0
DB01250,P08519,0.9870841350202876,ZeroAction,0
DB01180,P30049,0.9870841350202876,ZeroAction,0
DB06827,P30049,0.9870841350202876,ZeroAction,0
DB00928,Q3MS49,0.9870841350202876,ZeroAction,0
DB11677,Q9NYX4,0.9868867379336502,ZeroAction,0
DB00878,P07741,0.9868867379336502,ZeroAction,0
DB00217,P61073,0.986788054194126,ZeroAction,0
DB00262,P49674,0.986788054194126,ZeroAction,0
DB01089,P19367,0.9866893803224824,ZeroAction,0
DB04173,P49674,0.9866893803224824,ZeroAction,0
DB00742,Q07912,0.9866893803224824,ZeroAction,0
DB00748,P05230,0.9865907163177328,ZeroAction,0
DB00478,P51787,0.98649206217889,ZeroAction,0
DB01627,Q8TDS4,0.986393417904968,ZeroAction,0
DB06824,Q96GD4,0.986393417904968,ZeroAction,0
DB01091,P23560,0.986393417904968,ZeroAction,0
DB11160,P05230,0.986393417904968,ZeroAction,0
